MONTH_DAY,TMIN,TMAX,AWND,PRCP,YEARS_COUNT
03-14,-2.0214285714285714,3.592857142857143,2.4957142857142856,0.6142857142857143,35.0
03-15,-1.8914285714285715,3.6771428571428566,2.4299999999999997,0.3057142857142857,35.0
03-16,-1.8614285714285717,4.234285714285714,2.5014285714285713,0.4357142857142857,35.0
03-17,-1.6271428571428572,3.5028571428571427,2.607142857142857,0.3685714285714286,35.0
03-18,-1.282857142857143,3.3657142857142857,2.5342857142857143,0.6928571428571428,35.0
03-19,-1.7242857142857144,4.542857142857143,2.6285714285714286,0.3728571428571429,35.0
03-20,-1.4828571428571429,4.4071428571428575,2.544285714285714,0.19714285714285715,35.0
03-21,-1.6885714285714286,4.2628571428571425,2.307142857142857,0.5285714285714286,35.0
03-22,-1.5342857142857145,4.017142857142857,2.39,0.6714285714285714,35.0
03-23,-1.1814285714285715,3.9699999999999998,2.52,1.2285714285714286,35.0
03-24,-1.3042857142857143,3.857142857142857,2.6871428571428573,0.8142857142857143,35.0
03-25,-1.4857142857142858,3.6471428571428572,2.67,1.1114285714285714,35.0
03-26,-1.6257142857142857,4.941428571428572,2.5814285714285714,0.45142857142857146,35.0
03-27,-1.0685714285714285,4.845714285714285,2.724285714285714,1.3057142857142856,35.0
03-28,-0.9685714285714285,5.011428571428572,2.4985714285714287,0.6571428571428571,35.0
03-29,-0.4742857142857143,5.748571428571428,2.531428571428571,0.5085714285714286,35.0
03-30,-0.3985714285714286,5.834285714285714,2.6342857142857143,1.127142857142857,35.0
03-31,-0.36142857142857143,5.835714285714285,2.832857142857143,2.4257142857142853,35.0
04-01,-0.8442857142857144,6.135714285714286,2.6285714285714286,0.30142857142857143,35.0
04-02,-0.7885714285714286,6.211428571428572,2.6599999999999997,0.23285714285714287,35.0
04-03,-0.8714285714285714,5.948571428571428,2.914285714285714,0.36428571428571427,35.0
04-04,-1.18,5.985714285714286,2.462857142857143,0.45,35.0
04-05,-0.07428571428571427,7.371428571428571,2.857142857142857,1.0085714285714285,35.0
04-06,0.1957142857142857,6.414285714285715,3.1914285714285717,1.6528571428571428,35.0
04-07,0.041428571428571405,6.062857142857142,2.9785714285714286,2.1042857142857145,35.0
04-08,-0.22285714285714286,5.911428571428572,2.6957142857142857,1.2357142857142858,35.0
04-09,-0.3,6.415714285714286,2.6228571428571428,0.9199999999999999,35.0
04-10,0.35571428571428576,6.554285714285714,2.7385714285714284,1.84,35.0
04-11,0.11285714285714284,6.154285714285715,2.8814285714285712,1.4585714285714286,35.0
04-12,0.5471428571428572,6.442857142857143,2.9771428571428573,1.0899999999999999,35.0
04-13,1.042857142857143,7.161428571428572,2.762857142857143,0.9185714285714287,35.0
04-14,0.8571428571428571,7.502857142857144,2.892857142857143,1.0942857142857143,35.0
04-15,1.1885714285714286,7.128571428571429,3.17,1.3714285714285714,35.0
04-16,0.6971428571428571,6.598571428571428,2.73,1.28,35.0
04-17,0.5085714285714285,7.4714285714285715,2.192857142857143,0.13285714285714284,35.0
04-18,1.45,7.825714285714285,2.9,2.417142857142857,35.0
04-19,1.1557142857142857,6.97,2.682857142857143,0.9028571428571429,35.0
04-20,1.4657142857142855,7.3742857142857146,2.67,1.2571428571428571,35.0
