DATE,MONTH_DAY,TMIN,TMAX,AWND,PRCP,TMIN_AVG,TMAX_AVG,AWND_AVG,PRCP_AVG,TMIN_DEV,TMAX_DEV,AWND_DEV,PRCP_DEV,COMBINED_DEV
2000-12-13,12-13,-10.0,-5.85,1.05,0.15,-4.609999999999999,0.6657142857142856,2.1757142857142857,0.4728571428571428,5.390000000000001,6.515714285714285,1.1257142857142857,0.32285714285714284,2.1819419496267147
2000-12-14,12-14,-11.65,-5.0,2.0,0.0,-4.34,0.4599999999999999,2.337142857142857,0.5514285714285715,7.3100000000000005,5.46,0.3371428571428572,0.5514285714285715,2.0054422014474977
2000-12-15,12-15,-6.65,-3.35,2.5,0.0,-4.467142857142857,-0.0185714285714286,2.4028571428571426,1.0885714285714283,2.1828571428571433,3.3314285714285714,0.09714285714285742,1.0885714285714283,0.9006083112101531
2000-12-16,12-16,-10.55,-3.35,5.85,0.25,-5.111428571428571,-0.0542857142857143,2.3,0.3257142857142857,5.4385714285714295,3.295714285714286,3.55,0.07571428571428568,2.80883612355412
2000-12-17,12-17,-11.4,-5.55,1.95,0.0,-5.667142857142857,-0.3785714285714285,1.97,0.1428571428571428,5.732857142857143,5.171428571428572,0.020000000000000018,0.1428571428571428,1.5568228749407689
2000-12-18,12-18,-9.7,-5.3,4.65,0.0,-5.784285714285714,-0.8814285714285713,2.11,0.0985714285714285,3.9157142857142855,4.418571428571428,2.5400000000000005,0.0985714285714285,2.287037579635649
2000-12-19,12-19,-10.55,-6.65,2.0,0.0,-6.1,-0.7628571428571428,2.315714285714286,0.08,4.450000000000001,5.887142857142858,0.31571428571428584,0.08,1.582596972661178
2000-12-20,12-20,-8.6,-1.65,3.65,0.0,-5.498571428571428,-0.84,2.2728571428571427,0.2442857142857142,3.1014285714285714,0.8099999999999999,1.3771428571428572,0.2442857142857142,1.1955177326603919
2000-12-21,12-21,-11.4,-7.8,4.7,0.0,-5.752857142857143,-1.0842857142857143,2.474285714285714,0.4899999999999999,5.647142857142858,6.715714285714285,2.225714285714286,0.4899999999999999,2.74344883391448
2000-12-22,12-22,-13.05,-6.65,1.65,0.0,-5.854285714285714,-1.2442857142857144,2.1142857142857143,0.1485714285714285,7.195714285714287,5.405714285714286,0.4642857142857144,0.1485714285714285,2.0018241945676643
2000-12-23,12-23,-11.4,-6.95,1.95,0.0,-6.398571428571429,-1.6214285714285714,2.351428571428571,0.3842857142857143,5.001428571428572,5.328571428571429,0.401428571428571,0.3842857142857143,1.6561460998592765
2000-12-24,12-24,-13.35,-8.9,0.8,0.0,-6.388571428571429,-1.2614285714285711,2.174285714285714,0.4899999999999999,6.961428571428571,7.63857142857143,1.3742857142857139,0.4899999999999999,2.687828194639303
2000-12-25,12-25,-11.65,-5.55,1.95,0.0,-5.604285714285714,-0.9157142857142856,2.1657142857142855,1.25,6.045714285714286,4.634285714285714,0.21571428571428553,1.25,1.7156987604133918
2000-12-26,12-26,-8.35,-4.7,1.15,0.0,-5.461428571428572,-0.8157142857142856,2.1685714285714286,0.4385714285714285,2.888571428571428,3.8842857142857143,1.0185714285714287,0.4385714285714285,1.425935565539485
2000-12-27,12-27,-8.05,-4.15,1.55,0.25,-5.308571428571429,-0.4128571428571428,2.005714285714286,0.3485714285714285,2.741428571428572,3.7371428571428575,0.45571428571428574,0.09857142857142848,1.1082272513099496
2000-12-28,12-28,-6.4,-2.2,4.4,1.15,-5.527142857142857,-0.1714285714285714,2.2114285714285717,0.4028571428571428,0.8728571428571437,2.028571428571429,2.1885714285714286,0.7471428571428571,1.4209479076733942
2000-12-29,12-29,-6.95,-4.15,2.5,0.0,-5.731428571428571,-1.4685714285714286,2.2314285714285713,0.8928571428571429,1.2185714285714289,2.6814285714285715,0.2685714285714287,0.8928571428571429,0.7291874942852323
2000-12-30,12-30,-10.3,-5.3,1.9,0.0,-6.2,-1.3342857142857143,2.2985714285714285,0.7571428571428571,4.1000000000000005,3.9657142857142853,0.3985714285714286,0.7571428571428571,1.373979019149279
2000-12-31,12-31,-10.85,-7.2,1.75,0.0,-7.005714285714285,-2.1728571428571426,2.2823529411764705,0.2028571428571428,3.8442857142857143,5.027142857142858,0.5323529411764705,0.2028571428571428,1.4849768696558596
2001-01-01,01-01,-12.5,-6.4,0.85,0.0,-6.8271428571428565,-2.0242857142857145,2.025714285714286,0.2071428571428571,5.6728571428571435,4.375714285714286,1.1757142857142857,0.2071428571428571,1.955916390192001
2001-01-02,01-02,-8.35,0.0,2.15,0.0,-6.640000000000001,-1.3914285714285717,1.9928571428571429,0.2814285714285714,1.709999999999999,1.3914285714285717,0.15714285714285703,0.2814285714285714,0.5316882839841436
2001-01-03,01-03,-5.55,0.0,0.95,0.0,-6.651428571428572,-1.4028571428571428,2.4228571428571426,0.2928571428571428,1.1014285714285723,1.4028571428571428,1.4728571428571426,0.2928571428571428,1.019856984912523
2001-01-04,01-04,-4.7,2.8,3.1,0.0,-7.15,-1.8785714285714288,2.1514285714285712,0.1785714285714285,2.45,4.678571428571429,0.9485714285714288,0.1785714285714285,1.410901648174451
2001-01-05,01-05,-1.65,0.55,2.75,0.0,-6.574285714285714,-1.882857142857143,2.3657142857142857,0.23,4.924285714285714,2.4328571428571433,0.38428571428571434,0.23,1.2444614993742842
2001-01-06,01-06,-0.3,2.5,2.85,0.0,-6.7628571428571425,-2.0771428571428574,2.1114285714285717,0.32,6.462857142857143,4.577142857142857,0.7385714285714284,0.32,1.9187890377631822
2001-01-07,01-07,-1.95,0.55,2.3,0.0,-6.777142857142857,-1.522857142857143,1.9457142857142855,0.1428571428571428,4.8271428571428565,2.072857142857143,0.3542857142857143,0.1428571428571428,1.1620249420606108
2001-01-08,01-08,-5.0,-1.95,0.95,0.0,-6.364285714285714,-0.9842857142857144,2.072857142857143,0.4285714285714285,1.3642857142857139,0.9657142857142855,1.122857142857143,0.4285714285714285,0.8603765599632249
2001-01-09,01-09,-3.9,1.4,2.85,0.0,-6.558571428571429,-1.2671428571428571,2.5014285714285713,0.1571428571428571,2.658571428571429,2.6671428571428573,0.34857142857142875,0.1571428571428571,0.9138526790934509
2001-01-10,01-10,-0.85,2.8,2.45,0.0,-6.08,-0.9942857142857142,2.317142857142857,0.2242857142857142,5.23,3.794285714285714,0.132857142857143,0.2242857142857142,1.3577801180316582
2001-01-11,01-11,-3.9,-0.3,1.75,0.0,-6.1814285714285715,-1.2057142857142855,2.351428571428571,0.2142857142857143,2.2814285714285716,0.9057142857142855,0.601428571428571,0.2142857142857143,0.7425742520666055
2001-01-12,01-12,-2.8,-1.4,1.45,0.0,-6.71,-2.0185714285714287,2.4099999999999997,0.1742857142857142,3.91,0.6185714285714288,0.9599999999999997,0.1742857142857142,1.1025509927855992
2001-01-13,01-13,-1.95,0.3,2.5,4.85,-7.075714285714286,-1.85,2.0628571428571427,0.2814285714285714,5.1257142857142854,2.15,0.4371428571428573,4.5685714285714285,1.639150521919619
2001-01-14,01-14,-1.65,0.0,2.35,1.25,-6.7,-1.602857142857143,2.24,0.4028571428571428,5.050000000000001,1.602857142857143,0.10999999999999988,0.8471428571428572,1.0881856145009174
2001-01-15,01-15,-5.0,-1.95,3.15,0.0,-7.344285714285714,-1.8971428571428572,2.242857142857143,0.0542857142857142,2.3442857142857143,0.052857142857142714,0.907142857142857,0.0542857142857142,0.760384152132287
2001-01-16,01-16,-6.95,-2.8,1.65,0.0,-6.795714285714285,-1.44,2.44,0.1885714285714285,0.1542857142857148,1.3599999999999999,0.79,0.1885714285714285,0.5639597689152759
2001-01-17,01-17,-8.9,-3.35,1.2,0.0,-7.140000000000001,-1.792857142857143,2.36,0.4228571428571429,1.7599999999999998,1.5571428571428572,1.16,0.4228571428571429,1.012857873093341
2001-01-18,01-18,-9.45,-0.55,3.25,0.0,-7.1414285714285715,-1.2,2.49,0.3314285714285714,2.308571428571428,0.6499999999999999,0.7599999999999998,0.3314285714285714,0.7928896367317719
2001-01-19,01-19,-12.5,-9.15,1.5,0.0,-6.774285714285714,-1.8857142857142857,2.1414285714285715,0.3157142857142857,5.725714285714286,7.264285714285714,0.6414285714285715,0.3157142857142857,2.1172976539850756
2001-01-20,01-20,-10.55,-3.05,1.8,0.0,-6.951428571428572,-2.144285714285714,2.0,0.4942857142857143,3.5985714285714288,0.9057142857142857,0.19999999999999996,0.4942857142857143,0.7882424602287647
2001-01-21,01-21,-8.6,-3.9,0.8,0.0,-6.198571428571428,-0.9542857142857144,2.224285714285714,0.1685714285714285,2.4014285714285712,2.9457142857142857,1.4242857142857142,0.1685714285714285,1.3844094923473031
2001-01-22,01-22,-9.15,-0.3,1.3,0.0,-6.054285714285714,-1.0214285714285714,2.4014285714285712,0.1657142857142857,3.095714285714286,0.7214285714285713,1.1014285714285712,0.1657142857142857,1.0553397395723847
2001-01-23,01-23,-6.4,-1.65,1.4,0.0,-6.347142857142857,-1.3857142857142857,2.355714285714286,0.2414285714285714,0.05285714285714338,0.26428571428571423,0.955714285714286,0.2414285714285714,0.4825585447891807
2001-01-24,01-24,-11.1,-5.0,1.35,0.0,-6.485714285714286,-1.3014285714285714,2.192857142857143,0.3014285714285714,4.614285714285714,3.6985714285714284,0.842857142857143,0.3014285714285714,1.5710382516976191
2001-01-25,01-25,-11.65,-1.1,2.8,0.0,-6.274285714285714,-1.5157142857142856,2.367142857142857,0.2928571428571428,5.375714285714286,0.4157142857142855,0.43285714285714283,0.2928571428571428,1.0747130212798979
2001-01-26,01-26,-6.95,-0.55,4.0,0.0,-6.19,-0.3042857142857142,2.424285714285714,0.2071428571428571,0.7599999999999998,0.24571428571428583,1.575714285714286,0.2071428571428571,0.8548321263652717
