"date","headline","label"
"2017-01-13","TSX opens higher as financials offset energy, mining losses",""
"2017-01-13","California State Teachers Retirement System Has $8, 980, 000 Stake in People ’ s United Financial, Inc . (PBCT)",""
"2017-01-13","Profund Advisors LLC Boosts Position in TD Ameritrade Holding Corporation (AMTD)",""
"2017-01-13","SG Americas Securities LLC Sells 53, 332 Shares of Cadence Design Systems, Inc . (CDNS)",""
"2017-01-14","Nexus Investment Management Cuts Position in Toronto",""
"2017-01-14","Canadian bank to pay fine due to Iran sanctions violations",""
"2017-01-14","Iraq says oil exports stand at 3.077mn bpd ABU",""
"2017-01-14","Snapchat sets up international headquarters in London",""
"2017-01-14","Douglass Winthrop Advisors LLC Sells 283 Shares of Teva Pharmaceutical Industries Limited (TEVA)",""
"2017-01-14","Seante debates waiver allowing James mattis to serve as Pentagon chief",""
"2017-01-14","U.S . Stocks Advance After Trump Remarks as Biotech Shares Plunge",""
"2017-01-14","Cubans to be treated like other migrants: Obama",""
"2017-01-14","Marks & Spencer Group (LON: MKS) Receives Hold Rating From Deutsche Analysts",""
"2017-01-15","Trump team raises record 90 million United States dollars for inauguration day events",""
"2017-01-15","Toronto Dominion Bank: Bond set at $28, 000 for accused Boynton bank robber",""
"2017-01-15","Boston Celtics Jae Crowder, Washington Wizards John Wall fined for postgame confrontation",""
"2017-01-15","Clemson defensive tackles coach Dan Brooks to retire on top",""
"2017-01-15","HD Supply Holdings, Inc . (HDS) Shares Sold by PNC Financial Services Group Inc .",""
"2017-01-15","Signet Jewelers Limited (SIG) Stake Boosted by DekaBank Deutsche Girozentrale",""
"2017-01-15","EURUSD Overview: The Euro Should Be Sold on Rebound",""
"2017-01-15","Enterprise Products Partners L.P . Expected to Earn FY2018 Earnings of $1.57 Per Share (EPD)",""
"2017-01-16","Brokerages Set Toronto Dominion Bank (The) (TD) Price Target at $59.72",""
"2017-01-16","S & P / TSX Composite index surges on Royal Bank of Canada, Toronto",""
"2017-01-17","The Toronto Dominion Bank (The) (TD) Position Boosted by the Foster & Motley Inc .",""
"2017-01-17","Toronto Dominion Bank (The) (TD) Position Reduced by Virginia Retirement Systems ET AL",""
"2017-01-17","APG Asset Management N.V . Has $146, 778, 000 Stake in Toronto Dominion Bank (The) (TD)",""
"2017-01-17","TD rich stock valuation beginning to look like a hurdle",""
"2017-01-17","TSX barely lower as resource stock gains offset bank, rails",""
"2017-01-17","Most Sustainable Companies 2017: Canadian Firms Fall Behind In Latest Ranking",""
"2017-01-17","TSX falls as financials, railway stocks weigh",""
"2017-01-17","RioCan Real Estate Investment Fund vs.Toronto",""
"2017-01-17","Four Canadian financial services firms among world most sustainable companies",""
"2017-01-17","Commonwealth Bank of Australia Cuts Position in Navient Corporation (NAVI)",""
"2017-01-17","Premium Income Corporation Announces Year End Results",""
"2017-01-17","TEGNA Inc . (TGNA) Position Boosted by BlackRock Fund Advisors",""
"2017-01-17","Gap, Inc . (The) (GPS) Downgraded to Hold at Vetr Inc . – sleekmoney",""
"2017-01-17","Garrison Bradford & Associates Inc.Purchases 2, 500 Shares of Oaktree Capital Group, LLC (OAK)",""
"2017-01-17","TSX tips slightly to negative as resource stock gains offset by banks and railways",""
"2017-01-18","Toronto Dominion Bank (The) (TD) Stake Boosted by Stephens Inc.AR",""
"2017-01-18","Canaccord Genuity Raises Toronto",""
"2017-01-18","Toronto Dominion Bank: TD Bank Group Comments on Expected Impact of TD Ameritrade Holding Corp.First Quarter Earnings",""
"2017-01-18","Dividend 15 Split Corp.II: Regular Monthly Dividend Declaration for Class A & Preferred Share",""
"2017-01-18","North American Financial 15 Split Corp.Regular Monthly Dividend Declaration for Class A & Preferred Share",""
"2017-01-18","Dividend Select 15 Corp.Declares Monthly Dividend",""
"2017-01-18","Toronto Dominion Bank: Syosset Student Takes A Duck To Class",""
"2017-01-18","Prime Dividend Corp.Monthly Dividend Declaration for Class A & Preferred Share",""
"2017-01-18","Canadian Banc Corp .: Monthly Dividend Declaration for Class A & Preferred Share",""
"2017-01-18","DISH Network Corporation (DISH) EVP Sells $3, 749, 400.00 in Stock",""
"2017-01-18","TD Ameritrade Agrees to Acquire Scottrade for $2.7 Billion",""
"2017-01-18","CF Industries Holdings, Inc . (CF) Forecasted to Post FY2017 Earnings of $0.60 Per Share",""
"2017-01-18","State of Tennessee Treasury Department Raises Stake in People ’ s United Financial, Inc . (PBCT)",""
"2017-01-19","Intel Corp . (INTC) Shares Bought by Toronto Dominion Bank",""
"2017-01-19","GWL, LABD: Big ETF Inflows",""
"2017-01-19","Support of adult children is impacting boomer finances",""
"2017-01-19","The Canada Pension Plan Investment Board Has $819, 000 Position in E * TRADE Financial Corporation (ETFC)",""
"2017-01-19","Profund Advisors LLC Has $1, 189, 000 Stake in CDK Global, Inc . (CDK)",""
"2017-01-19","Teva Pharmaceutical Industries Limited (TEVA) Shares Bought by Lazard Asset Management LLC",""
"2017-01-19","Wells Fargo & Company MN Acquires 249, 175 Shares of HD Supply Holdings Inc . (HDS)",""
"2017-01-19","Alecta Pensionsforsakring Omsesidigt Has $25, 038, 000 Position in Michael Kors Holdings Ltd . (KORS)",""
"2017-01-19","Tesla Motors, Inc . (TSLA) Stake Decreased by Gilder Gagnon Howe & Co.LLC",""
