"date","headline","label"
"2017-10-16","Somalide bombalý saldýrýda can kaybý 300 ü aþtý",""
"2017-10-16","Bu siyasi lideri tanýdýnýz mý ?",""
"2017-10-17","Araç sahipleri dikkat ! Artýk muayeneden geçemeyecek ...",""
"2017-10-18","Aðaçlarý binanýn içinde býraktý",""
"2017-10-19","Fi dizisi hakkýnda her þey",""
"2017-10-26","Giresunda yakalanan terörist yer gösterdi, sýðýnaklar bulundu",""
"2017-10-27","Tam bir yýldýr beklenen özellik sonunda WhatsAppa geldi",""
"2017-10-28","Sosyal medyada en çok yapýlan hatalar",""
"2017-10-31","Kahve telvesinin faydalarý saymakla bitmiyor",""
"2017-11-02","Rusya süpermen zýrhý ný tanýttý",""
"2017-11-03","Ýþte en fazla kazandýran meslekler ! Yýllýk kazançlarý þaþýrtýyor",""
"2017-11-13","insanlar gibi poz veren hayvanlar",""
"2017-11-13","Traffic gives way to public spaces in Almaty",""
"2017-11-14","Daily Record, Nov.14, 2017",""
"2017-11-16","Milyonlarca asgari ücretli korumaya alýndý",""
"2017-11-28","Bülent Serttaþ Maria Sharapova fotoðrafýyla ilgili konuþtu",""
"2017-12-04","Avustralyada meclis kürsüsünden evlilik teklifi",""
"2017-12-08","Tam bir felaket kollarý bakýn neden bu hale geldi",""
"2017-12-10","Mısır da yeni arkeolojik keşif",""
"2017-12-10","Filistinlilerin öfkesi dinmiyor",""
"2017-12-12","Sarýmsaðýn faydalarý nelerdir ?",""
"2017-12-12","En komik araç yazýlarý",""
"2017-12-14","Daily Record, Dec.14, 2017",""
"2017-12-18","Zayýflatan meyve ve sebzelerin listesi",""
"2018-01-03","Kanser cerrahisinde 3D teknolojisi",""
"2018-01-05","Broadway star Ben Vereen sexually harassed Hair actresses",""
"2018-01-05","Benjamin Fulford: March 8, 2016",""
"2018-01-06","CHP FETO report exposes continued AKP - FETO relationship after 15 July",""
"2018-01-08","Ahmet Hakan zeytin dalý uzattý Þeyma Subaþý bakýn ne yanýt verdi - Dünya Fotolarý",""
"2018-01-16","Afrinden sonra Fýratýn doðusu - Güncel Fotolarý",""
"2018-01-16","Kan aðlayan aðacýn sýrrý ne ? - Dünya Fotolarý",""
"2018-01-26","Döner Kanat Vurucu Ýnsansýz Hava Aracý Kargu TSKya teslim edildi - Güncel Fotolarý",""
"2018-01-26","Beyne ilaç veren beyin implantý geliþtirildi - Magazin Fotolarý",""
"2018-01-29","Türkiyedeki Suriyeli Mülteciler: Kentsel Gerilimleri Azaltmak",""
"2018-01-30","Florida 4 - H Hall Of Fame Member Francis Robert Gindl, Sr.Passes Away",""
"2018-02-01","Mezar açýlýnca þok eden gerçekle karþýlaþtýlar ! - Güncel Foto Galeri",""
"2018-02-02","Almanyada sığınmacılar için önemli oylama",""
"2018-02-05","Türkiye Afrinde tankı vuran füzenin izini sürüyor",""
"2018-02-05","Rusya İdlibe saldırılarını yoğunlaştırdı",""
"2018-02-05","Siyanür içtim bana dokunmayýn notu býrakýp intihar etti - Güncel Fotolarý",""
"2018-02-06","Süper Ligin zirvesi yara aldı haftanın kazananı Kayseri oldu",""
"2018-02-06","Ýnanýlmaz deðiþim - Dünya Fotolarý",""
"2018-02-06","Kılıçdaroğlu: Türkiye hiç olmadığı kadar yalnız",""
"2018-02-07","Kara Harp Okulu davasında 60 sanığa müebbet hapis",""
"2018-02-09","53 liranýn peþine düþen adam kýrdý geçirdi - Güncel Foto Galeri",""
"2018-02-10","TSK: Afrinde bir ATAK helikopteri kırıma uğradı",""
"2018-02-11","Kendi ölümünü bilen madenciden korkunç 3.Dünya Savaþý kehaneti - Akþam akdeniz Fotolarý",""
"2018-02-14","İtalyada sıra dışı karnaval",""
"2018-02-17","Timsahlarla yakýnlýðý korkuttu - Güncel Foto Galeri",""
"2018-02-23","Uluslararası Af Örgütü: Dünya korku ve baskıyla yönetiliyor",""
"2018-02-24","OIC Rusya kararını görüşüyor",""
"2018-02-25","Rusya olimpiyatlara geri dönüyor",""
"2018-02-26","Samsung Galaxy S9 ve S9 Plu ın özellikleri",""
"2018-02-27","Yeni nesil ÝHAlar yerli gözle uçuyor - Ekonomi Fotolarý",""
"2018-02-27","Suudi Arabistan ordusunda deprem",""
"2018-02-27","20 yaþ küçük sevgilisiyle evleniyor ! Ýþte düðün tarihi - Magazin Fotolarý",""
"2018-02-27","F - 35 e ambargo söz konusu deðil - Dünya Fotolarý",""
"2018-03-01","Slovak gazeteci Kuciak ın cinayetine ilişkin 7 kişi gözaltında",""
"2018-03-01","Rusya: Türkiye ile imzalanan S - 400 anlaþmasý her iki tarafý da memnun etti - Ekonomi Fotolarý",""
"2018-03-02","İtalyada aşırı sağ zafere bir adım uzakta",""
"2018-03-05","Ninja olmanın sırları",""
"2018-03-05","Show TV reyting rekortmeni diziye final mi yaptýrýyor bu karar þok ! - Ekonomi Fotolarý",""
"2018-03-07","Suudi kadınlar trafiğe çıkmaya hazırlanıyor",""
"2018-03-07","Şampiyonlar Ligi: Real Madrid ve Liverpool çeyrek finalde",""
"2018-03-07","Barbieden Dünya Kadınlar Günü için Sheroes",""
"2018-03-09","Dont rely on the luck o the Irish",""
"2018-03-10","İstanbulda bir taksi şoförü Uber aracına bıçakla saldırdı",""
"2018-03-11","Çin devlet başkanlığında iki dönem sınırı kalktı",""
"2018-03-11","U2 nun vokalistinden özür",""
"2018-03-12","İngiltere Başbakanı eski ajanın zehirlenmesinden Rusyayı sorumlu tuttu",""
"2018-03-12","Afrini halk terk ediyor",""
"2018-03-12","Dondurmaya zavallı Yahudi adını veren yetkililere tepkiler büyüyor",""
"2018-03-12","Belçikada et skandalı tartışmaları büyüyor",""
"2018-03-13","Kürt gruptan Avrupa ülkelerine Afrin tehdidi",""
"2018-03-18","Rusya yeni liderini seçiyor",""
"2018-03-19","Epsilon ürettiði kompozit parçalarla helikopterlerin korunmasýný saðlýyor - Akþam akdeniz Fotolarý",""
"2018-03-21","Safety behind the wheel",""
"2018-03-21","Yosakoi renkleri ve Wadaiko ritimleri",""
"2018-03-25","Osmanlı hayali kuranlar 1821 i hatırlasın",""
"2018-03-28","Rusyada gözyaşı ve dua",""
"2018-03-28","Kemerovo yangınında ölenler son yolculuğuna uğurlanıyor",""
"2018-03-29","Rusya yangında yitirdiklerini uğurluyor",""
"2018-03-29","ABD askerlerini Türkiye korkusu sardý - Dünya Fotolarý",""
"2018-03-30","Doğu Guta son bir ayda 871 sivil hayatını kaybetti",""
"2018-03-31","Papa Paskalya öncesinde Kutsal Cuma vaazını verdi",""
"2018-03-31","İngiltere: Havalimanında yangın",""
"2018-04-02","Ünlüler Zeytin Dalý Harekatý na destek için sýnýra gitti - Spor Fotolarý",""
"2018-04-02","Muppet Showun yaratıcıları belgeselde buluştu",""
"2018-04-03","Suudi veliaht prensinden İsrail açılımı",""
"2018-04-04","Antalya emniyetinin Lara Croftu meslektaþlarýný eðitiyor - Ekonomi Fotolarý",""
"2018-04-04","Kaliforniya çöllerinde Volkswagenin dizel mezarlığı",""
"2018-04-05","Futbola gönül veren gençler F4F Dostluk İçin Futbol Turnuvası nda buluştu",""
"2018-04-05","Újabb trófeát hódított el a Real Madrid",""
"2018-04-05","Στη Ρεάλ Μαδρίτης το Κύπελλο « F4F »",""
"2018-04-05","еал отмечен наградой Футбола для дружбы",""
"2018-04-06","Güney Korenin eski Devlet Başkanı Park Geun - hye suçlu bulundu",""
"2018-04-06","Tunusta ziyaretçilerine Ayda yürüyormuþ hissi veren bölge: Ayn Þerþare - Yaþam Fotolarý",""
"2018-04-09","Macaristanda 85 yıl sonra mecliste Alman azınlığı temsil edecek olan Imre Ritter kimdir ?",""
"2018-04-09","Yangtze her yıl 1, 5 milyon ton plastiği denize döküyor",""
"2018-04-10","Türkler en fazla AB vatandaşlığı alanlar arasında",""
"2018-04-13","Nobel cinsel taciz skandalı ile sarsıldı",""
"2018-04-13","Pensilvanyada öğretmenlere beyzbol sopası",""
"2018-04-14","CIA: Suriyedeki hava saldırılarında yüzlerce Rus öldü",""
"2018-04-16","40 hours of non - stop tunes for Magnetic Island",""
"2018-04-17","Driving high ? Kiss your license goodbye !",""
"2018-04-17","Örümcek yiyerek korkusunu yendi",""
"2018-04-17","Uzatılması gündemde olan OHALin 20 aylık bilançosu",""
"2018-04-17","Bilim insanları plastiği yiyen yeni bir emzim türü buldu",""
"2018-04-20","Η εύκολη η πρόσβαση των τρομοκρατών στα όπλα",""
"2018-04-21","Natalie Portman İsrailin milyon dolarlık ödülünü geri çevirdi",""
"2018-04-21","Nikaraguadaki protestolarda 10 kişi hayatını kaybetti .",""
"2018-04-22","Salah Abdüsselam ın Belçikadaki davası sonuçlanıyor",""
"2018-04-23","Sakız Adası nda göçmenlere ırkçı saldırı",""
"2018-04-25","Türkiyenin ilk þova dayalý havacýlýk fuarý Eurasia Airshow bugün baþlýyor - Yaþam Fotolarý",""
"2018-04-27","Çavuşoğlu: Kıbrıs sorununa ilişkin yeni bir yol haritası belirlenecek",""
"2018-04-30","Necati Þaþmaz geri dönüyor ! Ýþte Kurtlar Vadisinin yeni kanalý - Teknoloji Fotolarý",""
"2018-05-04","Province funds 60 new paramedic positions",""
"2018-05-04","Aktör Cosby ve yönetmen Polanski Akademiden ihraç edildi",""
"2018-05-04","Meriç Nehrinde can pazarı",""
"2018-05-08","Savunma Sanayii Müsteþarý Ýsmail Demir: S - 400 de takvime uyulacak - Dünya Fotolarý",""
"2018-05-09","Premiere: Ric Wilson Connects With Kweku Collins, Nick Kosma, and Rane Raps on Sinner",""
"2018-05-10","Ric Wilson Teams Up With Kweku Collins On Funky New Track",""
"2018-05-10","Polanski Oscar Akademisine dava açmaya hazırlanıyor",""
"2018-05-11","Eurovisionda büyük final heyecanı",""
"2018-05-11","Brexit kampanyası yapan Leave.EUya 70 bin Pound ceza",""
"2018-05-13","A Parent and a Protector",""
"2018-05-15","Erdoğandan ABDye: Hakan Atillayı suçlamak Türkiyeyi suçlu ilan etmektir",""
"2018-05-18","Stream Ric Wilson – BANBA EP | Track By Track | New Music",""
"2018-05-18","KOBİ kümelenmesinin önemi",""
"2018-05-21","Fenerbahçe Doğuş EuroLeague ikincisi",""
"2018-05-21","Kertenkele derisi üzerine araştırmalar",""
"2018-05-22","Marks and Spencer 100 den fazla mağaza kapatacak",""
"2018-05-22","Reading the Wheel of Time: Two Rivers or Aielman in Robert Jordan s The Eye of the World (Part 14)",""
"2018-05-22","Jodie Foster suçluların hemşiresi oluyor",""
"2018-05-22","ABDli ünlü empresyonist ressam Mary Cassattin eserleri Pariste ziyaretçilerini bekliyor",""
"2018-05-24","Frida Kahlo oyuncak bebek değil, o bir ressam",""
"2018-05-24","MH17 yi vuran füze Rusyaya ait",""
"2018-05-25","AB Zuckerbergi sorguladı",""
"2018-05-25","The Wheel of Time Re - read: Lord of Chaos, Part 31",""
"2018-05-28","Yunanistan tek kullanımlık plastik pipetlere son veriyor",""
"2018-05-28","İtalyada belirsizlik yatırımcıları endişelendiriyor",""
"2018-06-03","Yemenin El - Hudeyde ilinde tansiyon yükseliyor",""
"2018-06-04","Facebookta yeni açık: Akıllı telefonlar gizli kişisel bilgilere erişebiliyor",""
"2018-06-04","The Wheel of Time Re - read: Knife of Dreams, Part 7",""
"2018-06-04","Fransa belgesiz kahramanlara yapılan çifte standardı tartışıyor",""
"2018-06-05","Muharrem İnce: İmam hatipleri kapatmayacağım",""
"2018-06-05","Meral Akşener, Googleda hangi kelimeleri satın aldı ?",""
"2018-06-05","Tesla hidderları Elon Musk ın görevden alınmasını oylayacak",""
"2018-06-05","Milli marşta diz çöken şampiyon takımın Beyaz Saray davetine Trump engeli",""
"2018-06-07","Donald Trump ın Beyaz Sarayda ilk iftarı",""
"2018-06-07","Başörtüsü takarak Müslüman kadınlara destek kampanyası",""
"2018-06-07","Putin Batı yı Dünya Kupası ile etkilemek istiyor",""
"2018-06-08","There a better way to travel, and it much slower",""
"2018-06-08","The Wheel of Time Re - read: The Gathering Storm, Part 1",""
"2018-06-08","BM Güvenlik Kurulunun yeni geçici üyeleri kimler oldu ?",""
"2018-06-09","The Wheel of Time Re - read: The Gathering Storm, Part 14",""
"2018-06-10","20 yıllık Yahoo Messenger kapanıyor",""
"2018-06-10","Ukraynada aşırı sağcı grup Roman kampına saldırdı",""
"2018-06-11","Akdenizde ölüm kalım mücadelesi veren göçmenlere İspanyadan yardım eli",""
"2018-06-11","Akşener: AK Parti bana güçlü başbakan yardımcılığı teklif etti",""
"2018-06-11","Göçmenler Akdenizde sıkıştı.Kötü hava şartları ve güvenlik sorunu nedeniyle 629 göçmenin İspanya yolculuğu iptal edildi",""
"2018-06-11","Hasta köpekcik, Akıl hastası, Roket adam: Trump ve Kimin hakaret arşivi",""
"2018-06-12","Akdenizde göçmenleri taşıyan gemi İspanyaya dümen kırdı",""
"2018-06-12","Donald Trump - Kim Jong - un görüşmesi: Savaşın eşiğinden müzakere masasına",""
"2018-06-14","Dorothy May (Edler) Blood",""
"2018-06-15","Yunanistanda bir köpeğe Merkel ismi verildi",""
"2018-06-16","Araştırma: Kanadalıların yüzde 70 i ABD mallarını boykot etmek istiyor",""
"2018-06-17","Papa kürtajı Nazilerin soy ıslahına benzetti",""
"2018-06-18","Panama ilk Dünya Kupası macerasından başı dik ayrılmak istiyor",""
"2018-06-19","Iowa rural roads are far more deadly than city highways",""
"2018-06-19","Rubik Küp Dünya Şampiyonası finallerine dört kişi kaldı",""
"2018-06-20","Picasso Brooklynde çim biçiyor",""
"2018-06-20","Suruç taki kavganın güvenlik kamerası görüntüleri yayınlandı",""
"2018-06-21","Çavuşoğlu: YPG 4 Temmuzda Menbiç ten çekilmeye başlıyor",""
"2018-06-22","Türk Borçlar Kanunu Uyarınca Tahliye Taahhüdü - Real Estate and Construction",""
"2018-06-22","Yorumcular günün en zevkli maçı diyor: Sırbistan - İsviçre",""
"2018-06-23","Suudi Arabistanda kadın sürücüler için geri sayım başladı",""
"2018-06-23","Çocuğu tokatlayarak vaftiz eden rahip Fransayı ayağa kaldırdı",""
"2018-06-25","Erdoğana oy veren Türkler Avusturyayı terk etsin",""
"2018-06-25","TÜSİAD: Hukuk devletinin ve özgürlüklerin en ileri demokrasiler düzeyinde tesisini bekliyoruz",""
"2018-06-25","Barselona turist değil mülteci istiyor",""
"2018-06-26","Yeryüzünde günler uzuyor",""
"2018-06-27","İzmirde Cumhurbaşkanı Erdoğana küfrettiği iddia edilen 5 kişi tutuklandı",""
"2018-06-27","Fransada 16 yaşındakilere zorunlu ulusal hizmet geliyor",""
"2018-06-27","Merkel koalisyon hükümetini kurtarmak için AB zirvesine bel bağladı",""
"2018-06-28","İnceden teşekkür mesajı: Türkiye hepimizin Türkiyesi olana dek yolculuğumuz devam edecek",""
"2018-06-30","Trump: Putine Rusyanın ABD seçimlerine müdahalesini soracağım",""
"2018-07-02","Japonyayı uzatma dakikalarında bulduğu golle mağlup eden Belçika çeyrek finalde",""
"2018-07-02","Fransa Cumnhurbaşkanı Macrondan Afrika turu",""
"2018-07-02","Çocuklarda diyabet krizinin kokusunu alan köpekler görevde",""
"2018-07-02","Ankara kulislerinde erken yerel seçim tartışması",""
"2018-07-03","Filipinler - Avustralya basketbol maçı boks ringine dönüştü",""
"2018-07-05","Süper Ligde yeni sezona adını veren Lefter Küçükandonyadis kimdir ?",""
"2018-07-05","Kamu bankalarý, emeklilere nakit desteði saðlamak içinfaizsiz kredi hazýrlýðý yapýyor - Güncel Fotolarý",""
"2018-07-06","Avusturya Erdoğana oy verenler Türkiyeye dönsün çağrısını yineledi",""
"2018-07-06","Kızıl Dany, Farage ve Blair tartıştı: Ne olacak bu AB ve İngilizlerin sonu ? - VİDEO",""
"2018-07-07","Daily Record, July 7, 2018",""
"2018-07-09","Reading The Wheel of Time: For the Love of Egwene in Robert Jordan s The Eye of the World (Part 20)",""
"2018-07-09","Trumptan NATO üyelerine suçlama: İttifak bütçesine yeteri kadar destek verilmiyor",""
"2018-07-10","Yiddish Favorite Disease – Tablet Magazine",""
"2018-07-10","Trump, Bushun eski danışmanını yüksek mahkeme için aday gösterdi",""
"2018-07-10","İsrailde yolsuzluk soruşturması büyüyor: Başbakan Netanyahu yeniden ifade verdi",""
"2018-07-10","Google yarı final maçları ile ilgili galibiyet oranlarını açıkladı",""
"2018-07-10","İsrailde tutulan Türk vatandaşı Ebru Özkana şartlı tahliye kararı",""
"2018-07-11","Googlea göre İngiltere - Hırvatistan maçını kim kazanacak ?",""
"2018-07-11","Yapay zeka insan aklına ilk kez bu kadar yaklaştı",""
"2018-07-11","TÜSİAD: ABD ve Çin ticaret savaşı Türk ekonomisi için büyük risk teşkil ediyor",""
"2018-07-12","Dünya Kupası nda finale çıkan Hırvatistan Google ı da yendi",""
"2018-07-12","Twitterdan sahte hesaplara operasyon: Tamamı silinecek",""
"2018-07-24","Man caught on camera being kicked by Miami officer accepts plea deal",""
"2018-07-31","Teenager murder shocks small town",""
"2018-08-15","Turkish Ngos To Send Eid Meat To 25M People Worldwide",""
"2018-08-16","Law enforcement: Dont drink and drive | News, Sports, Jobs",""
"2018-08-16","Turkish NGOs to send Eid meat to 25M people worldwide",""
"2018-08-28","nitoz.com Nitoz Bilişim Hizmetleri",""
"2018-09-06","Turn around, dont drown Flood safety tips | News, Sports, Jobs",""
"2018-09-15","hacialioglucigkofte.com Hacialioğlu Etsiz Çiğ Köfte",""
"2018-09-20","First woman to spend career with Marshalltown Police retires | News, Sports, Jobs",""
"2018-09-23","Sharing the road during fall harvest season | News, Sports, Jobs",""
"2018-09-26","Car seat safety check slated Sunday at local Fareway parking lot | News, Sports, Jobs",""
"2018-10-03","Waterloo homes flooded with sewage after heavy rainfall",""
"2018-10-27","Dean C.Johnson and Ila Fae Hughes",""
"2018-10-28","Johnson, Dean and Ila Fae",""
"2018-11-29","GIJN Data Journalism Top 10: Dear Abby Data, South Africa Pit Toilets, The Economist Inequality, Politico Goes Open Source",""
"2018-12-05","Mishpacha Jewish Family Weekly",""
"2019-01-04","Motorcycle maker Tomos sent into receivership",""
"2019-01-06","Arabesk headlines the Hustle",""
"2019-01-13","Ukraine signs agreement to procure Turkish Bayraktar TB2 drones",""
"2019-01-18","MWC On Ice: Fourth Edition",""
"2019-01-25","creasoup.com Creasoup - Fikir bulur, uygular, yönetir ve raporlar .",""
"2019-04-03","Mortal Kombat 11 Trophy listesi sızdı ! - Donanım Günlüğü",""
"2019-04-30","Protest at Funeral of Torturer Colonel Raci Tetik: May His Fire Abound in Hell",""
