"date","headline","label"
"2017-02-05","Amazon.com on Sale after Shortfall",""
"2017-02-06","Amazon Go: Amazon is looking for shop space in London, according to reports",""
"2017-02-06","Amazon Go searches for London location",""
"2017-02-06","Amazon may be planning a robot",""
"2017-02-06","Amazon.com, Inc . (AMZN) Prime Air Drones Surprise in Super Bowl Ad",""
"2017-02-07","More than 33 Million Customers Have Used Amazon Payments to Make a Purchase",""
"2017-02-07","Amazon Echo Breaks Out in Fourth Quarter",""
"2017-02-07","Amazon Payments nearly doubled transaction volume in 2016, added 10 million more customers",""
"2017-02-07","Amazon adds 10M users to its payments service, escalating PayPal rivalry",""
"2017-02-07","Amazon Payments volume doubles in 2016, with 33 million customers using payment method",""
"2017-02-07","Amazon Looking To Remove Human Workers From Grocery Stores, Says Report",""
"2017-02-07","Amazon Payments Volume Nearly Doubles As It Expands To New Markets",""
"2017-02-07","Pay With Amazon: 33M Consumers And Counting",""
"2017-02-07","Oscars 2017: Here Are All the Oscar",""
"2017-02-07","Amazon Payments makes gains but still lags behind rivals",""
"2017-02-07","Pay with Amazon: amazon payments unit nearly doubles money processed, Retail News, ET Retail",""
"2017-02-07","The Increasing Threat Of Amazon Business To Distributors",""
"2017-02-07","Amazon payments unit doubles money processed",""
"2017-02-08","9 gift ideas for him this Valentine Day (From News Shopper)",""
"2017-02-08","9 gift ideas for him this Valentine Day (From Sutton Guardian)",""
"2017-02-08","Pay with Amazon Volume Nearly Doubled Last Year",""
"2017-02-09","USA: How Amazon could shake up the mobile payment industry",""
"2017-02-09","Where to Stream Oscar",""
"2017-02-09","Amazon Payments Explodes on the Scene, Doubles 2016 Payment Volume",""
"2017-02-09","Amazon to Create 2, 000 New Full",""
"2017-02-09","Amazon com: to Create 2, 000 New Full",""
"2017-02-10","Amazon Anime Strike Interview: Manga, Best Prime Series Exclusives List In 2017 Includes Scum Wish, Onihei, The Great Passage, Vivid Strike !, Crayon",""
"2017-02-10","Amazon, Having Conquered E",""
"2017-02-11","All of Amazon ’ s Different Music Services, Explained",""
"2017-02-11","Amazon Echo with Alexa AI assistant to launch in India soon",""
"2017-02-12","How Amazon payments service could solve its biggest weakness against PayPal",""
"2017-02-12","Jeff Bezos says we have it all wrong about Amazon Alexa",""
"2017-02-12","How To Stop Seeing Your Amazon Searches Everywhere",""
"2017-02-12","How to stop seeing your Amazon searches everywhere",""
"2017-02-12","FedEx new service takes aim at Amazon",""
"2017-02-12","Amazon Increasingly Wants To Be Its Own Deliveryman",""
"2017-02-12","Xact Kapitalforvaltning AB Invests $51, 809, 000 in Amazon.com, Inc . (AMZN)",""
"2017-02-13","Amazon Germany: 12.8 billion euros in 2016",""
"2017-02-13","Amazon just shared new numbers that give a clue about how many Prime members it has",""
"2017-02-13","Amazon Expected To Introduce Line Of Private",""
"2017-02-13","Amazon Web Services: The Secret to the Online Retailer Future Success",""
"2017-02-13","Jeff Bezos first — and only — woman adviser has moved on to a new role at Amazon",""
"2017-02-13","Jeff Bezos wants Amazon to be the next HBO, Showtime",""
"2017-02-13","USA: The case for why Amazon should buy Macy ’ s",""
"2017-02-14","Amazon gets into UC space, takes on Skype, Cisco",""
"2017-02-14","Amazon Go Might Be the End of Check",""
"2017-02-14","Amazon launches a Skype competitor in the form of Amazon Chime",""
"2017-02-14","Amazon selling books in US, united kingdom online stores that deny the Holocaust",""
"2017-02-14","Amazon selling books in US, united kingdom that deny the Holocaust",""
"2017-02-14","The Complete Guide to Amazon Alexa SEO",""
"2017-02-14","Amazon Chime, unified communications service launched for iOS, Android",""
"2017-02-14","Amazon Web Service Unified Communications Service",""
"2017-02-14","Amazon declared the most innovative company of 2017",""
"2017-02-14","Amazon Reveals Some Prime Numbers",""
"2017-02-14","Amazon Sells Holocaust",""
"2017-02-14","Amazon Web Service unified communications service",""
"2017-02-14","Has Amazon outgrown its e",""
"2017-02-14","Amazon provides investors a glimpse at its secret formula",""
"2017-02-14","Amazon Chime Announced",""
"2017-02-14","AWS Announces Amazon Chime",""
"2017-02-14","Amazon Web Services Introduces Amazon Chimes, a FaceTime Killer App for Business for iOS, Android, Windows & macOS",""
"2017-02-14","Amazon Chime Communications App Hits Google Play Store",""
"2017-02-14","Enough tax incentives, Amazon",""
"2017-02-14","AWS Announces Amazon Chime – MilTech",""
"2017-02-14","Amazon unveils Chime, looks to reinvent the conference call with new Skype and GoToMeeting competitor",""
"2017-02-14","Amazon Chime Is A New Business Messaging Service (Video)",""
"2017-02-14","Amazon under fire for selling Holocaust",""
"2017-02-14","Why you should (nt) be excited about Amazon drone delivery patent",""
"2017-02-14","Is Amazon Prime Membership Growth Rate Slowing ?",""
"2017-02-14","Amazon com: AWS Announces Amazon Chime",""
"2017-02-14","Amazon Chime promises frustration",""
"2017-02-14","Amazon taking its bricks and mortar to the Bay Area with another bookstore location",""
"2017-02-14","Amazon To Launch Personal Assistant Alexa in India in the 2nd Half of 2017",""
"2017-02-14","Here How Amazon Payments Can Drive Profitability For The Company",""
"2017-02-14","Amazon is finally opening a bookstore in the San Francisco Bay Area",""
"2017-02-14","Amazon to set up two new facilities in Coimbatore, Noida",""
"2017-02-14","Amazon is finally opening a bookstore in the San Francisco Bay Area (AMZN)",""
"2017-02-14","Amazon chimes in late to the chat party with UC move",""
"2017-02-14","Amazon new drone delivery plan includes package parachutes",""
"2017-02-14","Amazon delivery drones may drop packages via parachute",""
"2017-02-15","EarthWater Announces Expansion Into 27 European Countries with Amazon Partnership",""
"2017-02-15","How Amazon Payments Could Be The Next Big Thing",""
"2017-02-15","Amazon Prime revelations hint at its secret formula",""
"2017-02-15","4 couples find love working side",""
"2017-02-15","This is how Amazon might deliver packages by drone",""
"2017-02-15","Cramer: No, Amazon is not the big, bad destroyer of business you think it is",""
"2017-02-15","7 ways Amazon is making it easier to spend your money",""
"2017-02-15","Amazon has Some Serious Anti",""
"2017-02-15","​Amazon Prime delivers nice revenue for 2016, doesnt cover net shipping costs yet",""
"2017-02-15","Amazon Development Centre Announces Launch Of 2 Customer Care Facilities In Coimbatore, Noida",""
"2017-02-15","DCT Featured on Colorado Real Estate Journal: Amazon likely to grow alongside competitors, suppliers",""
"2017-02-15","Amazon delivery drones may soon drop packages via parachute",""
"2017-02-15","Amazon Prime revenues reach £5.2bn, but growth has dropped off for Jeff Bezo subscription service",""
"2017-02-15","Amazon was coming to Illinois anyway.It time to cut off the tax credits .",""
"2017-02-15","Flipkart outsells Amazon in December, January on bumper smartphone sales Latest News",""
"2017-02-15","Wait, I thought # Trump was opposed to all this # NATO & # Russia stuff ? Fool me once …",""
"2017-02-15","Amazon Chime Takes Aim at WebEx, Skype in Online Conferencing",""
"2017-02-15","Amazon hires former Sony online chief to lead team working on ambitious new project using AWS and Twitch",""
"2017-02-16","Bank: Amazon Prime has 65m subs",""
"2017-02-16","Amazon.com Is Giving Us a Closer Glimpse of Its Prime Subscriber Numbers",""
"2017-02-16","Amazon plans to launch brick",""
"2017-02-16","Amazon May Bring Food Retail Outlets In India: Report",""
"2017-02-16","Amazon all set to open its first brick and mortar store in India",""
"2017-02-17","Where To Stream (Most Of) This Year Oscar Nominees: LAist",""
"2017-02-17","GST: No respite for Flipkart, Amazon, on tax collection at source Latest News",""
"2017-02-17","Google Home Takes On Amazon Echo With Shopping Support",""
"2017-02-17","Amazon Joins The FANG Party In Reaching An All",""
"2017-02-17","Amazon And Reading Is Fundamental Join Forces",""
"2017-02-17","FANG Stocks News & Quotes: Facebook, Amazon, Netflix, Google",""
"2017-02-17","JAM Voice Bluetooth Speaker with Amazon Alexa Impresses",""
"2017-02-17","Calculating Amazon Free Cash Flow In A Different Way",""
"2017-02-17","Maybe Amazon Results Were Better Than We Thought",""
"2017-02-17","Amazon Presents: Network and Learn about Amazon Go and Amazon Books !",""
"2017-02-17","Top 10 TV Shows on Amazon Prime Free",""
"2017-02-17","Amazon Annual Report Reveals a Lot About How Its Business Is Evolving",""
"2017-02-17","What behind Amazon Job Plan ?",""
"2017-02-17","Billionaire investor Mark Cuban calls Amazon the greatest startup in the world",""
"2017-02-18","Amazon Lex: The smart person guide",""
"2017-02-18","Amazon Consultant Expands New Entrepreneurs E",""
"2017-02-19","Amazon Echo Continues on Growth Path",""
"2017-02-19","New data highlights Amazon Australia threat",""
"2017-02-20","Amazon announces plans to create 5, 000 full",""
"2017-02-20","Amazon takes aim at Walmart with an even lower minimum for free shipping",""
"2017-02-20","Amazon plans 5, 000 new jobs in united kingdom Latest News",""
"2017-02-20","Amazon plans 5, 000 new posts in united kingdom",""
"2017-02-20","Amazon plans 5, 000 new jobs in united kingdom",""
"2017-02-20","8 Very Important Things We Just Learned About Amazon",""
"2017-02-20","Amazon matches Walmart, drops free shipping minimum to $35",""
"2017-02-21","Amazon cant kick its spending habit to fund dominance",""
"2017-02-21","Amazon Cant Kick Its Spending Habit",""
"2017-02-21","Amazon (AMZN) Stock Quotes, Company News And Chart Analysis",""
"2017-02-21","Amazon Drops Free Shipping Order Minimum From $49 To $35",""
"2017-02-21","Spring Summer 2017 from Westside Latest News",""
"2017-02-21","Amazon Go Convenience Store in Seattle Will Sell Beer and Wine",""
"2017-02-21","New Amazon Fire TV Stick Lands In The united kingdom",""
"2017-02-22","Amazon Launches Restaurant Delivery In Las Vegas",""
"2017-02-22","AWS Announces Amazon GameLift Now Supports Any C++ and C # Game Engine",""
"2017-02-22","AWS Announces Amazon GameLift Now Supports Any C++ and C # Game Engine – SAT Press Releases",""
"2017-02-22","Amazon com: AWS Announces Amazon GameLift Now Supports Any C++ and C # Game Engine",""
"2017-02-22","​Shopping alert: Amazon taking $8.62 off your $50 purchase today",""
"2017-02-22","Amazon Introduces Latest Generation Fire TV Stick in the united kingdom, Germany, and Japan",""
"2017-02-22","Amazon resists request for Echo info in Arkansas slaying",""
"2017-02-22","Amazon applies to sell beer and wine at Amazon Go store, and liquor at Ballard drive",""
"2017-02-22","Amazon lowers minimum for free shipping",""
"2017-02-22","Amazon challenges search warrant in Benton County murder case",""
"2017-02-23","New Study from CPC Strategy Analyzes Amazon Consumer Behaviors",""
"2017-02-23","Amazon resists request for Echo data in Arkansas death",""
"2017-02-23","Alexa May Be a Witness to a Murder — But Amazon Doesnt Want to Give up the Data",""
"2017-02-24","47 ice cube trays for the chillest people you know",""
"2017-02-24","Amazon Echo Now Has Over 10, 000 Skills To Choose From",""
"2017-02-24","Amazon GameLift now supports C++ and C # game engine",""
"2017-02-24","As Amazon open physical stores, Walmart",""
"2017-02-24","Amazon Protects Customer Data In Murder Trial, Arguing That Alexa Speech Falls Under First Amendment Rights: TECH",""
"2017-02-24","Amazon Resists Request for Echo Info in Arkansas Slaying",""
"2017-02-24","Amazon Says First Amendment Protects Alexa Data",""
"2017-02-25","Amazon keeps reminding us that it the most dangerous company in tech",""
"2017-02-25","Amazon versus everybody",""
"2017-02-25","Amazon keeps reminding us that it the most dangerous company in tech (AMZN)",""
"2017-03-01","Protecting yourself from Amazon counterfeits",""
"2017-03-02","Is Amazon Doing Enough to Combat Counterfeit Product Sales ? (NASDAQ: AMZN)",""
"2017-03-03","Fat finger: Typo caused Amazon big cloud",""
"2017-03-03","Dean Caldwell, Novelist And Americana Serial Short Story Writer Is Teaching Students In India To Read In California English",""
"2017-03-03","Internet was taken down by one small typo at Amazon web services, company says",""
"2017-03-03","Amazon Cloud Outage Due To Human Error",""
"2017-03-05","Preferred freshly pressed # juice because electrons and enzymes are included in a concentrated form .# HealthTips # eathealthy # FoodisMedicine",""
"2017-03-06","Frontier loses prominent online sales channel",""
"2017-03-06","How Retailers Can Take Advantage of Amazon Weaknesses",""
"2017-03-06","Amazon Is The Worst Corporate Citizen Says Australian Retailer",""
"2017-03-06","Amazon May Release New Amazon Echo Device to Make Phone Calls Work As Intercoms",""
"2017-03-06","Amazon Education GM leaves ; company says it remains committed to K",""
"2017-03-06","Amazon Rolls Out Private",""
"2017-03-06","Survey: Amazon weaknesses are opportunities for retailers",""
"2017-03-06","Survey: Amazon Weaknesses are Opportunities for Retailers",""
"2017-03-06","Amazon Web Services Archives > Hydrogen Fuel News",""
"2017-03-06","Amazon Elements brand adds vitamins, supplements",""
"2017-03-06","Amazon is the worst possible corporate citizen, says Harvey Norman chairman",""
"2017-03-06","Amazon Alexa Will Allow Users To Make Phone Calls With New Device",""
"2017-03-06","Lawyers Ring Amazon Chimes",""
"2017-03-07","Amazon agrees to hand over Echo data in murder case",""
"2017-03-07","Amazon Will Start Collecting Sales Tax In More States This Spring",""
"2017-03-07","Amazon Should Buy Whole Foods At $40 / Share",""
"2017-03-07","Amazon Inks Deal With Repsol For Order Pickup",""
"2017-03-07","With over two million fashion products, Amazon Fashion is",""
"2017-03-07","Springfield Township man upset over Amazon package delivery",""
"2017-03-07","Amazon Lambda: The smart person guide",""
"2017-03-07","Amazon Tracker: Revenue Games",""
"2017-03-07","Amazon Agrees to Hand Over Data in Echo Murder Case",""
"2017-03-07","Under Armour Debuts in India on Amazon Fashion",""
"2017-03-07","Alexa CAN Drive Amazon.com, Inc . (AMZN) Stock … Someday",""
"2017-03-07","Alexa CAN Drive Amazon.com, Inc . (AMZN) Stock ... Someday",""
"2017-03-07","Amazon shares data with Arkansas prosecutor in murder case",""
"2017-03-07","Amazon hands over Echo data after gadget hears man hot tub murder",""
"2017-03-07","Amazon India Offering Flat Discounts on iPhone 7, iPhone 7 Plus",""
"2017-03-07","Amazon sale drops popular iPhone 7, 7 Plus and Pixel XL cases to under $4",""
"2017-03-08","Amazon just confirmed its 10th book store, signaling this is way more than an experiment",""
"2017-03-08","Amazon Retail Book Store Locations: News Shop To Open In Washington",""
"2017-03-08","Amazon Retail Book Store Locations: New Shop To Open In Washington",""
