trial_number,train_losses,val_losses
10,"[0.06479359962046147, 0.04773624021559954, 0.04147401093194882, 0.034973569524784885, 0.030061208829283714, 0.02584121389935414, 0.022637529832621416, 0.019682273287326097, 0.017934997342526914, 0.016599907946462433, 0.014736040557424227, 0.013985297394295533, 0.012973241237923504, 0.011897275273998578, 0.010986341123158733]","[0.05079870422681173, 0.04578029883630348, 0.04533490707928484, 0.038836113149018, 0.035520623635613556, 0.03634130350793853, 0.03562383206956314, 0.03715432926335118, 0.03217109287101211, 0.03386016274717721, 0.03450056944381107, 0.03609501104801893, 0.03478803835583456, 0.033335606031345597, 0.03363155872758591]"
11,"[0.07037818357348442, 0.04916463123013576, 0.044934926939507326, 0.03939841029544671, 0.03498495583732923, 0.03248024571686983, 0.02863013491034508, 0.026363622304052113, 0.02370585983619094, 0.021385716162621974, 0.020746817489465077, 0.01864201854293545, 0.017732776515185834, 0.016711746317644913, 0.0164269168737034, 0.014632554085304339, 0.015174888207887609, 0.014117169554034869, 0.013340879939496517, 0.013731471973781785, 0.0128824993626525]","[0.05308177310860518, 0.0490444338682926, 0.045965833758766, 0.04331610086515094, 0.04109418341381983, 0.04135286657026771, 0.039158960578568054, 0.037686756953145516, 0.03730795730018255, 0.03802070504223758, 0.03666771141191324, 0.038285657819924934, 0.03786329236446005, 0.04128017124127258, 0.03656694439776016, 0.038987316247640236, 0.0393128888399312, 0.03743817959206574, 0.037492851642045105, 0.03793741153045134, 0.03728990327341087]"
12,"[0.06858452188471953, 0.04846705866356691, 0.04098887663334608, 0.03527204369505246, 0.030934845147033534, 0.028200517563770216, 0.02476845263193051, 0.02264648724347353, 0.02328392630442977, 0.01938620161265135, 0.01839102435236176, 0.01720039701089263, 0.01729862136145433, 0.017666957844048738]","[0.05176444351673126, 0.0507266323900584, 0.04244449650022117, 0.039315547963435, 0.03941494817704414, 0.045696390002514374, 0.03791930041078365, 0.034749827573471, 0.03541951149589184, 0.03670843907942375, 0.03485241893566016, 0.03775213829552134, 0.038076203711556664, 0.03723492388698188]"
13,"[0.05975552798559269, 0.043373550024504465, 0.03429927036476632, 0.02765299134577314, 0.02243997930859526, 0.019189375337834158, 0.017674397483157616, 0.01421445253615578, 0.01263434164536496, 0.011177886084963878, 0.009764728901597361, 0.009096845085732639, 0.008431560243479908, 0.00789105058570082]","[0.04993927682248445, 0.045853791744090044, 0.038080914633778426, 0.037247076014486645, 0.03775355401807107, 0.038109592563257765, 0.03482561813524136, 0.03304843832380497, 0.036889043636620045, 0.03502077772640265, 0.03492602956696199, 0.03353465083413399, 0.03477123921307234, 0.034424262637129194]"
14,"[0.07447298064827919, 0.051565945570667585, 0.047167346216738223, 0.043798628921310104, 0.042203150168061254, 0.03903724886476993, 0.035833209181825317, 0.03314311155428489, 0.030349323426683745, 0.02777819293240706, 0.027410561883201203, 0.023287244228025278, 0.02272846002752582, 0.020560124355057875, 0.019169536164651314, 0.018280333553751308, 0.017200893505165973, 0.01618656892950336, 0.015432474398985506, 0.01599166315048933, 0.01516377787726621, 0.013353511976699034, 0.012711162924145659, 0.012291476201886932, 0.012027534438918035, 0.016470914498592417, 0.013714524501313765, 0.011155458992968003, 0.0101139318694671, 0.010103421009456118, 0.009473160216584802]","[0.05641045545538267, 0.051427244914300514, 0.051873953053445526, 0.05895671350034801, 0.046410713231924805, 0.04359889143344128, 0.04239327556481867, 0.03955855646706892, 0.04154096920551224, 0.03943442070687359, 0.03934701972387054, 0.03781920033648158, 0.03830184427682649, 0.037949702138024746, 0.039754992365046884, 0.03992247824190241, 0.03657818125617324, 0.03591505169981357, 0.037504084669335774, 0.0362622280689803, 0.035901066325040476, 0.036539690039882604, 0.037749638526954434, 0.036103271060820785, 0.03553676554425196, 0.03659431593295074, 0.03682474363030809, 0.035737225764685056, 0.035763343923132525, 0.03668627521079598, 0.03735877119117614]"
15,"[0.06436108335231741, 0.047402091516802705, 0.0422474630145977, 0.03610551718622446, 0.0316718322923407, 0.029071405694509545, 0.02503553781968852, 0.023870176691561936, 0.021109313441750904, 0.018642440483284492, 0.017309062668743234, 0.015685463993189236, 0.015624718048299352, 0.013813762795180082, 0.013498656442388892, 0.013391248495317996, 0.011606487369475265, 0.010870230671328803, 0.010068920083964865, 0.009497306655781964, 0.00904771074342231, 0.008458977522483717, 0.008643209493408601, 0.008000729229145994, 0.008833415791547547]","[0.05518122831216225, 0.04707909868313716, 0.04927066630468919, 0.040315595398155546, 0.039576977491378784, 0.04237105664438926, 0.03639812701596663, 0.03755420305981086, 0.03616574385131781, 0.036480208615270945, 0.03708687536418438, 0.04109346436766478, 0.034241434645194274, 0.03639968913048506, 0.036676234622987414, 0.03629927765578032, 0.036940178017203625, 0.035934434215036726, 0.03321477497139802, 0.03401567368553235, 0.03721171550166148, 0.03515520290686534, 0.03485172091481777, 0.040841970521097, 0.036014343196382886]"
16,"[0.06241456054151058, 0.043653225575884184, 0.03306074570864439, 0.02514180946474274, 0.020069104606906574, 0.015535137063513199, 0.01330220517081519, 0.010551479266335567, 0.008042564721157153, 0.006500266014287869, 0.005352779844154915, 0.00492359309302022, 0.004569935045825938, 0.004851501005080839, 0.004053991778443257, 0.003601674782112241, 0.003387314782012254, 0.0032765499921515585, 0.0030022115889005363, 0.002976561114192009, 0.0029299811615298194, 0.002932493832583229, 0.0028278694674372675, 0.002849640696464727, 0.002832782002321134, 0.0026625913831715784, 0.002671996164135635, 0.0026602362049743533, 0.002537458590231836, 0.00251513259873415]","[0.05209666242202123, 0.040624933430191246, 0.037497288095905926, 0.03418062459395239, 0.035409701176721486, 0.031380281120425825, 0.03165511667700202, 0.029964160357573717, 0.03184540728530423, 0.030716222287579018, 0.03063435186490868, 0.030055076180195265, 0.029938016742975873, 0.029894551318703277, 0.030172605339127283, 0.029873980293897064, 0.02994832300552816, 0.03059736609628255, 0.030833497982133518, 0.029047488503045206, 0.03091129107457219, 0.029574139608126698, 0.02992046158760786, 0.02858610698163058, 0.02883738496651252, 0.028762765736742454, 0.028713928620246323, 0.02911903824882977, 0.029483157407605286, 0.028776387814573492]"
17,"[0.08796987518668174, 0.07008212067186832, 0.05509962650636832, 0.05235312687853972, 0.05054104458540678, 0.04884194802492857, 0.04810418959707022, 0.047080809796849886, 0.04648542571812868, 0.0456511103361845, 0.04500503743688265, 0.04437736085305611, 0.04376795011262099, 0.04315715111792087, 0.04281133841723204, 0.042056969478726385, 0.041475769144793354, 0.04106008383135001, 0.040201621217032274, 0.039620291826625666, 0.03917781504491965, 0.038167319434384506, 0.03767171164353689, 0.03665709539006154, 0.0369842932621638, 0.03603551124533017, 0.035168712735176084, 0.03423267394304275, 0.03378794092684984, 0.03316019804527362, 0.03229398373514414, 0.03143615902711948, 0.03063624439140161, 0.03169132042055329, 0.030190701174239318, 0.029062124813596407, 0.02840780855466922, 0.02795609743023912, 0.02716293476521969, 0.026575491912662983, 0.026161870633562404, 0.02572612019876639, 0.025170120087762673, 0.024647277028610307, 0.02355610237767299, 0.023332284322629373, 0.023696193086604277, 0.022513083157440026, 0.022426237060377996, 0.022233231210460266]","[0.08267881089087689, 0.06015374737255501, 0.05664478185953516, 0.05298063339609088, 0.05196615940693653, 0.05107756704092026, 0.05028681389310143, 0.0500387018828681, 0.049432563059257736, 0.049368134615096176, 0.048446584718697, 0.048054687678813934, 0.04876280463103092, 0.04791175844994458, 0.04658136533742601, 0.04660544843610489, 0.04650665114097523, 0.045522697269916534, 0.04505052462671742, 0.045782251339970215, 0.04507209219490037, 0.04417752226193746, 0.04371344975449822, 0.04778059504248879, 0.04350452390358304, 0.042554598612089954, 0.0420132525490992, 0.0425836867229505, 0.04265121765660517, 0.04138656985014677, 0.0413402154138594, 0.04040950581177392, 0.04165491834282875, 0.04218054828092908, 0.04172250284164241, 0.03999315013149471, 0.043555766054796, 0.03951119233600118, 0.0396271412909934, 0.04120623345740817, 0.04034433993652011, 0.0447947894872138, 0.038684312741018155, 0.03880286546402865, 0.038896504443872604, 0.03949597381958456, 0.03952769839176626, 0.03876550437593268, 0.03861988207438227, 0.039001280131439366]"
18,"[0.06203170641014973, 0.036659213900566104, 0.02550929157063365, 0.018494958976904553, 0.01462518550766011, 0.011080348532026012, 0.009314467214668791, 0.00815137536575397, 0.007177245134177307, 0.0066675836530824505, 0.006017980038498839, 0.005414025764912367, 0.005351916759585341, 0.004987996960990131, 0.0049529335275292396, 0.004982481213907401, 0.005026422847683231, 0.004835609377672275, 0.004546650010161102, 0.004840918796447416, 0.0048303210875019435]","[0.04814510623162443, 0.03916722632041483, 0.03772094738528584, 0.0349178547604066, 0.03278168951245872, 0.03232551659598495, 0.03288036868484183, 0.03085240713236007, 0.03392283965579488, 0.03153778986553803, 0.030343205936140184, 0.03109442981693781, 0.031388254215319954, 0.030711568144121855, 0.029384589612935528, 0.03106426334742344, 0.03129036222217661, 0.030663886968272203, 0.031384386771330326, 0.031634418378499424, 0.03258417339318178]"
19,"[0.06543465942144394, 0.041523960642516615, 0.03042695238565405, 0.02343801117191712, 0.016963502870251734, 0.01254603011223177, 0.010436818708355227, 0.008269257697587212, 0.0064008028774211806, 0.005716739928660294, 0.005274454412671427, 0.00442599475538979, 0.0038855044450610875, 0.003653377948018412, 0.003459519346555074]","[0.049031434072689575, 0.03879545832222158, 0.034554277853616935, 0.0349772334889029, 0.0330532615947904, 0.032329284656567106, 0.030344937656385202, 0.03185383231858864, 0.0299081195861976, 0.03198417665606195, 0.03160846231956825, 0.029962277681933658, 0.031001829711551018, 0.030614934410109665, 0.03150898629489044]"
